#online:true
#name:ANSI(Big5)
#id:big5@big5
#type:bin
#pattern:
#base:
#description:BIG5碼又稱為大五碼，為民國73年所提出的常用電腦漢字集內碼，以2個位元組(byte)編碼，內含13,051個中文字，適用於Windows95／98／ME等以上作業系統及大部分的應用程式。
01-4B27	A864
01-4B28	A865
01-4B29	A866
01-4B2A	A867
01-4B2B	A868
01-4B2C	A869
01-4B2D	A86A
01-4B2E	A86B
01-4B2F	A86C
01-4B30	A86D
01-4B31	A86E
01-4B32	A86F
01-4B33	A870
01-4B34	A871
01-4B35	A872
01-4B36	A873
01-4B37	A874
01-4B38	A875
01-4B39	A876
01-4B3A	A877
01-4B3B	A878
01-4B3C	A879
01-4B3D	A87A
01-4B3E	A87B
01-4B3F	A87C
01-4B40	A87D
01-4B41	A87E
01-4B42	A8A1
01-4B43	A8A2
01-4B44	A8A3
01-4B45	A8A4
01-4B46	A8A5
01-4B47	A8A6
01-4B48	A8A7
01-4B49	A8A8
01-4B4A	A8A9
01-4B4B	A8AA
01-4B4C	A8AB
01-4B4D	A8AC
01-4B4E	A8AD
01-4B4F	A8AE
01-4B50	A8AF
01-4B51	A8B0
01-4B52	A8B1
01-4B53	A8B2
01-4B54	A8B3
01-4B55	A8B4
01-4B56	A8B5
01-4B57	A8B6
01-4B58	A8B7
01-4B59	A8B8
01-4B5A	A8B9
01-4B5B	A8BA
01-4B5C	A8BB
01-4B5D	A8BC
01-4B5E	A8BD
01-4B5F	A8BE
01-4B60	A8BF
01-4B61	A8C0
01-4B62	A8C1
01-4B63	A8C2
01-4B64	A8C3
01-4B65	A8C4
01-4B66	A8C5
01-4B67	A8C6
01-4B68	A8C7
01-4B69	A8C8
01-4B6A	A8C9
01-4B6B	A8CA
01-4B6C	A8CB
01-4B6D	A8CC
01-4B6E	A8CD
01-4B6F	A8CE
01-4B70	A8CF
01-4B71	A8D0
01-4B72	A8D1
01-4B73	A8D2
01-4B74	A8D3
01-4B75	A8D4
01-4B76	A8D5
01-4B77	A8D6
01-4B78	A8D7
01-4B79	A8D8
01-4B7A	A8D9
01-4B7B	A8DA
01-4B7C	A8DB
01-4B7D	A8DC
01-4B7E	A8DD
01-4C21	A8DE
01-4C22	A8DF
01-4C23	A8E0
01-4C24	A8E1
01-4C25	A8E2
01-4C26	A8E3
01-4C27	A8E4
01-4C28	A8E5
01-4C29	A8E6
01-4C2A	A8E7
01-4C2B	A8E8
01-4C2C	A8E9
01-4C2D	A8EA
01-4C2E	A8EB
01-4C2F	A8EC
01-4C30	A8ED
01-4C31	A8EE
01-4C32	A8EF
01-4C33	A8F0
01-4C34	A8F1
01-4C35	A8F2
01-4C36	A8F3
01-4C37	A8F4
01-4C38	A8F5
01-4C39	A8F6
01-4C3A	A8F7
01-4C3B	A8F8
01-4C3C	A8F9
01-4C3D	A8FA
01-4C3E	A8FB
01-4C3F	A8FC
01-4C40	A8FD
01-4C41	A8FE
01-4C42	A940
01-4C43	A941
01-4C44	A942
01-4C45	A943
01-4C46	A944
01-4C47	A945
01-4C48	A946
01-4C49	A947
01-4C4A	A948
01-4C4B	A949
01-4C4C	A94A
01-4C4D	A94B
01-4C4E	A94C
01-4C4F	A94D
01-4C50	A94E
01-4C51	A94F
01-4C52	A950
01-4C53	A951
01-4C54	A952
01-4C55	A953
01-4C56	A954
01-4C57	A955
01-4C58	A956
01-4C59	A957
01-4C5A	A958
01-4C5B	A959
01-4C5C	A95A
01-4C5D	A95B
01-4C5E	A95C
01-4C5F	A95D
01-4C60	A95E
01-4C61	A95F
01-4C62	A960
01-4C63	A961
01-4C64	A962
01-4C65	A963
01-4C66	A964
01-4C67	A965
01-4C68	A966
01-4C69	A967
01-4C6A	A968
01-4C6B	A969
01-4C6C	A96A
01-4C6D	A96B
01-4C6E	A96C
01-4C6F	A96D
01-4C70	A96E
01-4C71	A96F
01-4C72	A970
01-4C73	A971
01-4C74	A972
01-4C75	A973
01-4C76	A974
01-4C77	A975
01-4C78	A976
01-4C79	A977
01-4C7A	A978
01-4C7B	A979
01-4C7C	A97A
01-4C7D	A97B
01-4C7E	A97C
01-4D21	A97D
01-4D22	A97E
01-4D23	A9A1
01-4D24	A9A2
01-4D25	A9A3
01-4D26	A9A4
01-4D27	A9A5
01-4D28	A9A6
01-4D29	A9A7
01-4D2A	A9A8
01-4D2B	A9A9
01-4D2C	A9AA
01-4D2D	A9AB
01-4D2E	A9AC
01-4D2F	A9AD
01-4D30	A9AE
01-4D31	A9AF
01-4D32	A9B0
01-4D33	A9B1
01-4D34	A9B2
01-4D35	A9B3
01-4D36	A9B4
01-4D37	A9B5
01-4D38	A9B6
01-4D39	A9B7
01-4D3A	A9B8
01-4D3B	A9B9
01-4D3C	A9BA
01-4D3D	A9BB
01-4D3E	A9BC
01-4D3F	A9BD
01-4D40	A9BE
01-4D41	A9BF
01-4D42	A9C0
01-4D43	A9C1
01-4D44	A9C2
01-4D45	A9C3
01-4D46	A9C4
01-4D47	A9C5
01-4D48	A9C6
01-4D49	A9C7
01-4D4A	A9C8
01-4D4B	A9C9
01-4D4C	A9CA
01-4D4D	A9CB
01-4D4E	A9CC
01-4D4F	A9CD
01-4D50	A9CE
01-4D51	A9CF
01-4D52	A9D0
01-4D53	A9D1
01-4D54	A9D2
01-4D55	A9D3
01-4D56	A9D4
01-4D57	A9D5
01-4D58	A9D6
01-4D59	A9D7
01-4D5A	A9D8
01-4D5B	A9D9
01-4D5C	A9DA
01-4D5D	A9DB
01-4D5E	A9DC
01-4D5F	A9DD
01-4D60	A9DE
